"Station Name","TORONTO CITY CENTRE"
"Province","ONTARIO"
"Latitude","43.63"
"Longitude","-79.40"
"Elevation","76.80"
"Climate Identifier","6158359"
"WMO Identifier","71265"
"TC Identifier","YTZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2011-01-01","2011","01","01","‡","9.0","","0.9","","5.0","","13.0","","0.0","","","M","","M","9.5","","","","27","","43",""
"2011-01-02","2011","01","02","‡","0.7","","-4.1","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","25","","50",""
"2011-01-03","2011","01","03","‡","1.1","","-4.0","","-1.5","","19.5","","0.0","","","M","","M","0.0","","","","23","","43",""
"2011-01-04","2011","01","04","‡","1.7","","-2.1","","-0.2","","18.2","","0.0","","","M","","M","0.3","","","","23","","41",""
"2011-01-05","2011","01","05","‡","0.4","","-6.7","","-3.2","","21.2","","0.0","","","M","","M","0.0","","","","28","","39",""
"2011-01-06","2011","01","06","‡","-1.0","","-6.9","","-4.0","","22.0","","0.0","","","M","","M","0.0","","","","22","","44",""
"2011-01-07","2011","01","07","‡","-2.6","","-6.4","","-4.5","","22.5","","0.0","","","M","","M","0.0","","","","25","","44",""
"2011-01-08","2011","01","08","‡","-3.2","","-8.3","","-5.8","","23.8","","0.0","","","M","","M","0.0","","","","3","","41",""
"2011-01-09","2011","01","09","‡","-3.0","","-8.3","","-5.7","","23.7","","0.0","","","M","","M","0.0","","","","31","","43",""
"2011-01-10","2011","01","10","‡","-2.4","","-8.5","","-5.5","","23.5","","0.0","","","M","","M","0.0","","","","33","","37",""
"2011-01-11","2011","01","11","‡","-4.1","","-8.1","","-6.1","","24.1","","0.0","","","M","","M","0.0","","","","5","","59",""
"2011-01-12","2011","01","12","‡","-6.6","","-10.7","","-8.7","","26.7","","0.0","","","M","","M","0.0","","","","32","","56",""
"2011-01-13","2011","01","13","‡","-5.2","","-10.6","","-7.9","","25.9","","0.0","","","M","","M","0.0","","","","36","","50",""
"2011-01-14","2011","01","14","‡","-1.8","","-7.2","","-4.5","","22.5","","0.0","","","M","","M","0.0","","","","25","","35",""
"2011-01-15","2011","01","15","‡","","","","","","","","","","","","","","","","","","","","","",""
"2011-01-16","2011","01","16","‡","-4.3","","-14.6","","-9.5","","27.5","","0.0","","","M","","M","0.0","","","","30","","59",""
"2011-01-17","2011","01","17","‡","-0.1","","-14.0","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","9","","41",""
"2011-01-18","2011","01","18","‡","2.9","","-1.3","","0.8","","17.2","","0.0","","","M","","M","4.1","","","","36","","43",""
"2011-01-19","2011","01","19","‡","-1.3","","-9.2","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","36","","44",""
"2011-01-20","2011","01","20","‡","-4.4","","-10.4","","-7.4","","25.4","","0.0","","","M","","M","0.0","","","","26","","32",""
"2011-01-21","2011","01","21","‡","-4.8","","-11.2","","-8.0","","26.0","","0.0","","","M","","M","0.0","","","","28","","65",""
"2011-01-22","2011","01","22","‡","-7.7","","-12.3","","-10.0","","28.0","","0.0","","","M","","M","0.0","","","","23","","50",""
"2011-01-23","2011","01","23","‡","-10.0","","-16.7","","-13.4","","31.4","","0.0","","","M","","M","0.0","","","","36","","37",""
"2011-01-24","2011","01","24","‡","","","","","","","","","","","","","","","","","","","","","",""
"2011-01-25","2011","01","25","‡","1.3","","-4.3","","-1.5","","19.5","","0.0","","","M","","M","0.8","","","","25","","44",""
"2011-01-26","2011","01","26","‡","-0.6","","-2.3","","-1.5","","19.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"2011-01-27","2011","01","27","‡","-0.1","","-2.5","","-1.3","","19.3","","0.0","","","M","","M","0.0","","","","24","","32",""
"2011-01-28","2011","01","28","‡","-0.5","","-3.7","","-2.1","","20.1","","0.0","","","M","","M","0.0","","","","28","","41",""
"2011-01-29","2011","01","29","‡","-3.4","","-7.1","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","","","<31",""
